knee_angle_left,knee_angle_right,knee_angle_avg,hip_angle_left,hip_angle_right,ankle_angle_left,ankle_angle_right,back_angle,hip_hinge_angle,frontal_weight,foot_asymmetry,knee_cave_pct_left,knee_cave_pct_right,knee_over_toe_left,knee_over_toe_right,shoulder_width,hip_width,elbow_width,elbow_flare_pct,elbow_flare_angle_lateral,arm_angle_left,arm_angle_right,wrist_dev_left,wrist_dev_right,exercise_type
63.35,76.28,69.815,6.69,20.01,119.9,82.49,58.03,13.35,0.906,0.008532184057518988,3.2427010268406553,2.4916343179476663,0.001544845108830628,0.004207608747556546,0.1274229642093906,0.21947563413091356,0.1907677158361305,49.71219435976019,6.9512077421381395,143.09,128.48,0.06675051955534994,0.08086349200157938,SQUAT
141.16,141.79,141.475,83.84,84.07,141.25,98.73,64.11,83.84,0.0,0.005234202905425089,2.4402497821985336,-1.6050904065897265,0.006465085137493998,0.10453817517419639,0.019337572116692847,0.046680074850219966,0.001559977526769507,-91.9329194101731,9.588573258265244,107.99,161.68,0.11129758563585601,0.031475801879261245,SQUAT
174.35,177.62,175.985,143.1,129.06,61.73,88.27,35.79,129.06,0.25,0.015469874952688034,8.791743043242045,4.970461242559726,0.06260530871453368,-0.0408769712550654,0.00862402143074037,0.20963005159899206,0.02758927510824194,219.91194977669957,17.792180844745854,138.69,106.98,0.10216974710106153,0.09504813301007631,SQUAT
161.94,179.43,170.685,170.72,175.59,121.58,108.46,1.53,170.72,0.1,0.007356430287721705,-2.14791915724874,-0.048076279034370284,0.021606250972466212,0.09736829475624453,0.0033044679869994598,0.031216460116007205,0.012689585805713888,284.012974422438,6.798649187261785,116.18,68.19,0.09736888737934563,0.12235792138054524,SQUAT
102.44,106.07,104.255,81.73,52.47,100.73,148.44,22.91,81.73,0.15,0.006985833702145228,-0.8845997464475452,0.3986283794952583,0.1016723383755796,0.037790216892361395,0.01606212946574448,0.37114963140797474,0.011272609380252097,-29.81871174495846,12.392542207116417,153.82,76.09,0.048083157507846086,0.10971572101507576,SQUAT
137.5,134.42,135.95999999999998,140.11,143.13,73.84,118.54,4.83,142.55,0.383,0.00859761745163723,11.711487343767214,3.877401703690242,0.04912838397015984,0.12288902412620728,0.08714028488692671,0.1949064963146322,0.09383702844341879,7.68501453166211,13.27845134202738,63.12,94.24,0.11072602118197489,0.07571318681832395,SQUAT
51.85,81.97,66.91,79.96,127.48,109.8,104.96,20.81,91.41,0.482,0.05596088181649894,-2.8442785089017155,6.175642452402497,0.08045236314148607,0.019602763990059335,0.09804543790046383,0.08694282035597156,0.12574362659187222,28.25035951140094,11.26035475273178,105.24,175.68,0.12531936220515816,0.022359002176281173,SQUAT
157.56,148.11,152.835,163.55,162.06,176.69,133.7,5.62,162.81,0.894,0.013214563943990454,4.742873907345868,5.230545075716853,0.0510962211518185,0.026335356103680208,0.17100489564457594,0.19990310080248536,0.15954178241833022,-6.703383071599979,9.462557292326633,52.85,97.39,0.10877775243881199,0.11397790616427961,SQUAT
158.29,165.57,161.93,163.84,148.38,137.49,53.64,13.97,156.11,0.826,0.04613022427334179,-1.3587590426582474,8.14924556426977,0.020938367072348918,0.032412449303719226,0.18432881884265523,0.07398352106941058,0.1832888082248379,-0.5642148766249598,10.89858632111809,109.4,139.27,0.07606900079362716,0.06212748248635147,SQUAT
57.74,62.29,60.015,105.08,117.7,151.38,110.95,43.76,105.08,0.1,0.003916099280997454,-1.3765036841160816,4.11692150183296,0.0003515445592603972,0.07540945225585682,0.006084981402263101,0.019922693435281413,0.029982582810734515,392.7308865657916,9.523165296613373,74.32,178.87,0.10603528185656508,0.014828103689523253,SQUAT
82.02,73.54,77.78,30.3,30.08,135.48,105.04,52.5,30.25,0.457,0.0020002350396233215,0.6725510280113367,-1.7131359607815977,0.049020515886965266,0.07975490727843992,0.09407042674436872,0.12230469998148877,0.10345705020046492,9.978293690113514,10.541057987753153,99.01,140.1,0.12123422759282299,0.09608269738929232,SQUAT
147.41,149.81,148.61,160.82,168.49,155.38,130.05,17.69,162.36,0.402,0.030531499328202094,1.2767031584035526,1.2215646754718201,0.00875389640081864,-0.03510178811848719,0.07751127675413805,0.08104366166057142,0.051842002141932464,-33.116825947309906,5.111315394346301,101.94,95.47,0.1397106404591395,0.07905822149725772,SQUAT
83.11,90.15,86.63,39.02,33.12,82.37,150.64,62.04,36.07,0.927,0.0039047696842926527,10.849839781626297,0.4166214073137109,0.009915017902715206,-0.024169819023201033,0.14151042044484174,0.10832080360277141,0.09944456334325147,-29.72633179193104,3.90542208814255,117.1,75.99,0.13737304335541234,0.10391113060811863,SQUAT
113.72,122.25,117.985,89.71,74.69,135.73,133.47,45.97,74.69,0.0,0.004649291902739439,5.811626705818468,0.5214406119168791,0.04572450588496191,-0.025626127145405908,0.030995835877606015,0.03703516250337746,0.0523978551086709,69.04804669754847,10.837463488923856,107.68,85.97,0.11805336385414983,0.09994114437448709,SQUAT
63.73,67.61,65.67,16.2,110.94,122.92,121.75,78.91,16.2,0.15,0.006525755964664537,-0.3885920029502721,1.376501221081755,-0.043559333007921974,0.06582078820826992,0.02128359935625035,0.4116220584918865,0.023622158677130023,10.987612018701668,9.108458811718432,86.67,121.62,0.10539582011450976,0.08717300203970291,SQUAT
77.5,77.22,77.36,16.85,79.06,100.2,111.19,2.64,79.06,0.15,0.030971117240068402,5.470645459441137,-0.27823996388540717,0.06647296316232715,0.09244696793403706,0.011501247505395717,0.41149905057794595,0.016930300772990514,47.204038214531074,11.61769233142069,90.08,77.04,0.07494505374346228,0.11318806573023232,SQUAT
76.55,77.89,77.22,45.17,37.05,132.44,103.47,34.38,45.17,0.15,0.010985699607047983,-1.0547121912430735,-1.9500248135874698,0.019513027101628833,0.08990861909858294,0.01793362169894719,0.41000653193211584,0.004424605239492174,-75.32787680163942,7.445948684424446,95.23,114.35,0.13088862708335425,0.12661138272220096,SQUAT
55.3,53.76,54.53,33.56,24.21,83.31,177.36,45.46,33.56,0.272,0.009796960800890875,9.401050143634947,0.12992660275912282,-0.012792780025379646,0.004444024579489114,0.08691217102241011,0.08249143566004025,0.08389065522540678,-3.47651630543694,17.803810901135503,150.35,118.7,0.05219161470018657,0.13563135838608775,SQUAT
138.63,140.66,139.64499999999998,94.77,121.28,75.81,80.77,72.46,121.28,0.026,0.008646105978150298,11.55692747928197,10.657643661655914,0.024200048849482902,-0.018073819248419054,0.026614716270450978,0.07021622622669982,0.007699201017332902,-71.07163969325892,9.597525775380003,134.16,162.7,0.0642221501077852,0.042418059591342816,SQUAT
126.7,123.58,125.14,162.38,151.68,132.7,80.9,33.17,162.38,0.073,0.0038599889614905347,-1.0140825680091226,11.080193943095324,0.013203654925858122,0.015132002074444317,0.06721989152231334,0.04664380841204552,0.11017067686124182,63.89594562893808,8.63815346687602,162.73,79.17,0.056046649726334996,0.11595593716771069,SQUAT
102.12,89.2,95.66,54.22,167.72,145.79,51.56,49.6,167.72,0.15,0.041033409671146104,9.296455988133035,15.993908200748086,0.08699992910674875,0.01002736857102493,0.023974562377571673,0.20068545878097466,0.014728464151514742,-38.56628571750992,4.2027393796475785,86.93,127.37,0.14771878412029982,0.0935717452717344,SQUAT
114.08,103.79,108.935,55.16,56.61,121.36,139.46,57.55,55.16,0.113,0.012932473004833023,-0.48120246927266797,-2.68861438280934,0.0776273042256947,0.017896302467514835,0.04769486552867219,0.07202124950360145,0.05673263211022006,18.949139454255793,15.458554960889241,114.42,79.81,0.07716031287269487,0.10363909242550418,SQUAT
58.73,58.14,58.435,56.44,6.36,92.11,143.25,33.76,31.4,0.678,0.001295815591643601,0.13977202549987355,-0.10043003955025886,0.05838922819421771,0.03300805486329372,0.11129579022577707,0.1958137854319345,0.08385515475579552,-24.65559156758299,14.322634882276116,88.03,74.77,0.11584485543774647,0.10519158447162513,SQUAT
147.04,132.41,139.725,145.24,142.48,110.83,82.63,48.83,142.48,0.25,0.004768575212567572,1.768800610505905,15.80232492878645,0.09793405936413568,0.08475626485018811,0.0031159770442408252,0.19139646679611272,0.0010284181988692298,-66.99532171554257,11.20923675870666,161.39,112.08,0.028941974271856186,0.1277586242551788,SQUAT
