knee_angle_left,knee_angle_right,knee_angle_avg,hip_angle_left,hip_angle_right,ankle_angle_left,ankle_angle_right,back_angle,hip_hinge_angle,frontal_weight,foot_asymmetry,knee_cave_pct_left,knee_cave_pct_right,knee_over_toe_left,knee_over_toe_right,shoulder_width,hip_width,elbow_width,elbow_flare_pct,elbow_flare_angle_lateral,arm_angle_left,arm_angle_right,wrist_dev_left,wrist_dev_right,phase_code,BACK_ROUNDED,HIPS_TOO_HIGH,score
149.49,147.35,148.42000000000002,169.53,141.96,120.16,149.14,9.51,169.53,0.235,0.02220158765451974,-4.533563041993139,-4.184452380884518,0.002879403607597808,-0.0854604035977291,0.08507734500980368,0.05093390383970642,0.048655830609707795,-42.8098859877432,15.421575473246389,172.84,164.61,0.0011885034565024544,0.019813517535326897,2,NONE,NONE,100.0
175.82,174.45,175.135,173.52,170.73,177.76,160.23,4.14,173.52,0.331,0.013112179957084469,0.7427788228948851,-0.1635661763363605,0.010642879523042659,-0.008048873695453485,0.08268874995996106,0.11989727599595457,0.06733291221974674,-18.570649269277634,10.901554808228736,174.43,165.68,0.0315446868315859,0.029993212755350385,1,NONE,NONE,100.0
142.55,136.97,139.76,72.44,85.29,127.64,150.78,66.38,74.76,0.361,0.006768051174898759,-0.5002809316901891,-0.7663338137627762,-0.02873983583559836,-0.023520188682906285,0.0751895598733886,0.1500836058239155,0.11227095248809388,49.31720930026254,5.115352849062321,166.26,172.76,0.03835529732011739,0.030061688455982782,2,HIGH,NONE,75.0
148.05,169.47,158.76,146.68,176.46,152.63,138.29,16.64,146.68,0.095,0.034605103986954266,4.0974291615679554,1.8014712933544508,0.024041610168134553,-0.0011955702919496103,0.012465990324505793,0.09811604843783772,0.0035382140810196194,-71.61706379585297,3.491627564936007,179.23,173.78,0.010722060215176965,0.015646400387235526,2,NONE,NONE,100.0
122.22,128.42,125.32,66.01,115.34,122.95,179.2,54.75,66.01,0.15,0.0045829787339440875,-0.5695533617522563,-0.5242655733540991,0.02256188416667254,-0.005565826712883415,0.019514133300226,0.39290097754961073,0.010088020810308018,-48.30402839263589,7.191096122240314,174.32,162.44,0.00627054141582728,0.05525450002023491,2,HIGH,NONE,75.0
100.23,107.07,103.65,37.93,81.21,146.16,133.41,44.26,59.57,0.941,0.00905494376407745,2.5053982016723317,-0.5165908507507533,0.014742449168655691,-0.017652785324123843,0.12908445734570095,0.6607529613013179,0.17235059432943423,33.51769676488803,12.697183086455997,155.8,153.87,0.014720132852010237,0.05479419245393502,2,MEDIUM,NONE,85.0
162.6,171.03,166.815,139.38,172.03,177.63,167.85,25.97,139.38,0.15,0.015937102239190426,0.858240895727258,-0.5956004482687793,0.014313581509586448,0.01166289003918225,0.031968801474883346,0.12040472362983606,0.0017271795683223568,-94.59729646205432,12.2623480785997,153.41,155.08,0.048285409886864084,0.027039402042731586,1,NONE,LOW,95.0
170.15,178.28,174.215,151.75,176.18,120.68,106.85,18.02,157.4,0.462,0.04701903297297616,-4.998402433006177,-1.0028710252124151,0.019245877638811137,-0.01702035083416298,0.09308127059466997,0.1644514110918377,0.0970498077381916,4.2635184480914035,13.685262761495427,132.52,121.55,0.06437686955413263,0.07323209182821189,1,NONE,LOW,95.0
113.63,122.2,117.91499999999999,114.85,84.15,168.49,116.59,2.91,114.85,0.25,0.03623863016768247,-1.3541742936198142,-1.3545117779178995,-0.009752026329743257,0.029764633327107104,0.003474139529176523,0.29411914294607594,0.029587598112438496,751.652556379958,2.8218840110588768,172.05,179.1,0.006974968816678251,0.00942670086782238,2,NONE,NONE,100.0
99.66,97.45,98.555,41.49,90.62,178.87,152.53,59.21,41.49,0.15,0.003851754577453903,0.33614330594619046,0.31631642083596034,0.0046754676327310785,0.021267942207803925,0.028638786561495322,0.4517428846786136,0.01827454500554382,-36.189527561499986,9.777270599171379,178.15,156.31,0.013290809032470263,0.02918557822984935,2,HIGH,NONE,75.0
